20 222
1 3 60
1 5 11
1 6 23
1 8 26
1 11 8
1 15 91
1 16 38
1 17 74
1 18 3
2 5 5
2 10 3
2 12 94
2 13 64
2 14 12
2 15 69
3 1 28
3 6 67
3 7 19
3 8 16
3 10 56
3 11 67
3 13 32
3 17 4
3 20 6
4 7 69
4 10 31
4 12 50
4 14 13
4 15 32
4 16 57
4 17 38
4 18 63
4 20 42
5 1 100
5 2 59
5 6 100
5 7 71
5 9 96
5 12 14
5 13 92
5 14 12
5 15 61
5 16 30
5 17 21
5 18 93
5 20 70
6 1 90
6 3 88
6 5 24
6 7 100
6 9 27
6 10 26
6 11 5
6 12 1
6 13 100
6 14 43
6 15 47
6 18 100
6 19 34
6 20 72
7 3 62
7 4 72
7 5 68
7 6 39
7 9 34
7 10 22
7 11 35
7 13 85
7 14 39
7 17 22
7 20 93
8 1 29
8 3 47
8 10 12
8 12 16
8 13 37
8 14 99
8 16 75
8 18 14
8 20 98
9 5 70
9 6 98
9 7 83
9 10 74
9 14 96
9 17 16
9 19 71
9 20 25
10 2 87
10 3 39
10 4 13
10 6 90
10 7 82
10 8 90
10 9 80
10 11 76
10 12 52
10 13 27
10 14 91
10 15 3
10 16 36
10 18 83
10 19 87
10 20 32
11 1 53
11 3 11
11 6 43
11 7 23
11 10 5
11 13 30
11 14 66
11 15 51
11 16 29
11 17 23
11 18 49
11 20 67
12 2 60
12 4 62
12 5 48
12 6 66
12 8 90
12 10 44
12 13 79
12 16 26
12 17 73
12 19 70
13 2 5
13 3 48
13 5 67
13 6 59
13 7 15
13 8 48
13 10 37
13 11 57
13 12 5
13 14 21
13 15 42
13 16 40
13 17 6
13 19 23
13 20 18
14 2 85
14 4 73
14 5 96
14 6 17
14 7 51
14 8 10
14 9 67
14 10 21
14 11 78
14 13 85
14 15 37
14 16 76
14 17 94
14 20 84
15 1 85
15 2 28
15 4 50
15 5 45
15 6 39
15 10 24
15 11 63
15 13 86
15 14 74
15 17 9
15 18 35
16 1 80
16 4 27
16 5 89
16 8 100
16 10 25
16 11 2
16 12 45
16 13 4
16 14 32
16 17 47
16 20 60
17 1 48
17 3 51
17 4 28
17 5 27
17 7 48
17 9 47
17 11 93
17 12 58
17 13 17
17 14 65
17 15 99
17 16 36
17 18 33
17 19 24
18 1 69
18 4 71
18 5 18
18 6 63
18 8 41
18 10 66
18 11 23
18 15 7
18 17 58
18 20 93
19 6 73
19 9 64
19 10 68
19 12 77
19 13 61
19 17 23
19 20 57
20 3 72
20 4 75
20 5 41
20 6 96
20 7 68
20 8 51
20 9 11
20 10 71
20 11 82
20 13 66
20 14 40
20 16 44
20 18 45
20 19 95
